"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.logical_property"	"Answer.foil_property"	"Answer.target_position"	"Answer.logical_position"	"Answer.target_frequency"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.scale_and_levels_condition"	"Answer.familiarization_present_in_study"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"206OZFYQS1CSCFUFTW4SAIC7SJGMJJ"	"AYY7JSAD0SGXL"	"Approved"	"Thu Feb 27 05:41:04 PST 2014"	"Wed Feb 26 12:59:50 PST 2014"	"Wed Feb 26 13:01:04 PST 2014"	"Wed Feb 26 13:06:27 PST 2014"	""	""	""	""	"""sundae"""	"""chocolate"""	"""cherry"""	"""whipped cream"""	"""right"""	"""middle"""	"0.778"	"3"	"0"	"1"	"1"	"0"	"1"	"""8"""	"""8"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""what we think Bob was mumbling"""	""""""	"""32"""	"""f"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2WBUNU8LZ6R7J9BR5D48P3VKLHVK4L"	"AE3A1HAMMKGC0"	"Approved"	"Thu Feb 27 05:41:14 PST 2014"	"Wed Feb 26 13:00:08 PST 2014"	"Wed Feb 26 13:01:14 PST 2014"	"Wed Feb 26 13:06:27 PST 2014"	""	""	""	""	"""pizza"""	"""olives"""	"""peppers"""	"""mushrooms"""	"""left"""	"""right"""	"0.556"	"2"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Pizza"""	"""no"""	"""27"""	"""m"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2XDVWJ5OPB0YE958URNBDEPF8O54W2"	"AD1ILDUXZHASF"	"Approved"	"Thu Feb 27 05:41:44 PST 2014"	"Wed Feb 26 12:59:55 PST 2014"	"Wed Feb 26 13:01:44 PST 2014"	"Wed Feb 26 13:06:27 PST 2014"	""	""	""	""	"""friend"""	"""hat"""	"""mustache"""	"""glasses"""	"""right"""	"""middle"""	"0.11"	"0"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""happy faces"""	""""""	"""26"""	"""M"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2I0MQU6L5OBVVB7RT2VAOJFDUF4XET"	"A3QKPJ5NYH1W18"	"Approved"	"Thu Feb 27 05:42:10 PST 2014"	"Wed Feb 26 12:59:52 PST 2014"	"Wed Feb 26 13:02:10 PST 2014"	"Wed Feb 26 13:06:27 PST 2014"	""	""	""	""	"""snowman"""	"""mittens"""	"""scarf"""	"""hat"""	"""left"""	"""middle"""	"0.11"	"0"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""guessing what kind of snowman bob will make next year"""	"""none"""	"""33"""	"""m"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"26R9RNDWIOV1B0YNZIKG0134RKCGVR"	"A33LREXN26VIPD"	"Approved"	"Thu Feb 27 05:43:34 PST 2014"	"Wed Feb 26 13:02:52 PST 2014"	"Wed Feb 26 13:03:34 PST 2014"	"Wed Feb 26 13:06:27 PST 2014"	""	""	""	""	"""pizza"""	"""olives"""	"""peppers"""	"""mushrooms"""	"""left"""	"""middle"""	"0.778"	"3"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Decision making"""	"""No"""	"""23"""	"""M"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2U1RJ85OZIZE0FGALRFOW5E23IPX9K"	"A1F63RK1PMJS5Y"	"Approved"	"Thu Feb 27 05:46:26 PST 2014"	"Wed Feb 26 13:05:21 PST 2014"	"Wed Feb 26 13:06:26 PST 2014"	"Wed Feb 26 13:26:02 PST 2014"	""	""	""	""	"""friend"""	"""mustache"""	"""hat"""	"""glasses"""	"""right"""	"""middle"""	"0.33"	"1"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob meeting his friend"""	"""none"""	"""27"""	"""M"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2BANMHGYQ4J363H67KDFLOY4WE59MC"	"A1LRJ2MQD4AMES"	"Approved"	"Thu Feb 27 05:46:36 PST 2014"	"Wed Feb 26 13:05:38 PST 2014"	"Wed Feb 26 13:06:36 PST 2014"	"Wed Feb 26 13:26:02 PST 2014"	""	""	""	""	"""Christmas tree"""	"""ornaments"""	"""lights"""	"""star"""	"""left"""	"""right"""	"0.778"	"3"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Christmas trees"""	""""""	"""31"""	"""m"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"244F806UFBNFBOMUHKU9BSWC115F12"	"A38EHOL0U2BTV0"	"Approved"	"Thu Feb 27 05:47:16 PST 2014"	"Wed Feb 26 13:05:07 PST 2014"	"Wed Feb 26 13:07:16 PST 2014"	"Wed Feb 26 13:26:02 PST 2014"	""	""	""	""	"""Christmas tree"""	"""lights"""	"""ornaments"""	"""star"""	"""middle"""	"""right"""	"0.11"	"0"	"0"	"1"	"1"	"0"	"1"	"""8"""	"""8"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""What people think \""mumblemumble\"" could mean"""	""""""	"""26"""	"""m"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2U4CVLL3CA335AGPM939TQUDBIN9ZT"	"A182CHO6N044YK"	"Approved"	"Thu Feb 27 05:47:19 PST 2014"	"Wed Feb 26 13:06:39 PST 2014"	"Wed Feb 26 13:07:19 PST 2014"	"Wed Feb 26 13:26:02 PST 2014"	""	""	""	""	"""sundae"""	"""cherry"""	"""chocolate"""	"""whipped cream"""	"""right"""	"""middle"""	"0.33"	"1"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""FALSE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Preferences"""	"""N/A"""	""""""	"""m"""	"1"	"1"
"20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 26 12:59:11 PST 2014"	"144"	"31"	"0"	"113"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Mar 05 12:59:11 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=20Y5TYMNCWYBN2L9OXJH311MTR8KOZ"	"2NGBDDP8PJWKD6J8TR23W395EWB5GA"	"A2H2V2H8NRSGES"	"Approved"	"Thu Feb 27 05:48:18 PST 2014"	"Wed Feb 26 13:06:41 PST 2014"	"Wed Feb 26 13:08:18 PST 2014"	"Wed Feb 26 13:26:02 PST 2014"	""	""	""	""	"""snowman"""	"""scarf"""	"""mittens"""	"""hat"""	"""middle"""	"""left"""	"0.33"	"1"	"0"	"1"	"1"	"0"	"1"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob's snowman decorations"""	"""Strange survey, I couldn't figure out the point"""	"""26"""	"""m"""	"1"	"1"
